ray_id,x,y,z
27,-0.963501,-0.270521,-0.999
28,-0.438719,0.819898,0.999
29,-0.999,-0.0295004,-0.933919
30,-0.749998,0.999,-0.878073
31,0.999,-0.168413,0.653441
32,-0.999,-0.260199,-0.444682
33,0.246549,0.0900109,0.999
34,-0.756146,0.999,0.231014
35,-0.171073,0.0420144,0.999
36,-0.360931,0.533788,0.999
37,-0.999,-0.912036,-0.620721
38,-0.329365,0.999,-0.254907
39,-0.431505,-0.999,0.463342
40,0.0720686,0.0528895,0.999
41,-0.732022,-0.396481,-0.999
42,0.999,-0.0365986,0.817337
43,-0.740867,-0.999,0.68837
44,0.999,-0.540138,-0.419325
45,-0.148792,-0.934379,-0.999
46,-0.114845,0.157039,-0.999
47,-0.100753,-0.999,0.546075
48,-0.999,-0.136503,-0.759056
49,-0.256209,-0.999,-0.179608
50,-0.548607,-0.731238,0.999
51,-0.621373,0.880269,0.999
52,-0.643536,-0.777362,0.999
53,-0.808613,0.999,0.459611
54,0.283316,-0.69705,-0.999
55,-0.917432,0.982432,0.999
56,0.999,0.77689,-0.352987
57,-0.999,0.793905,-0.646816
58,0.999,0.976082,0.122159
59,0.999,0.719747,-0.420472
60,0.999,-0.318354,-0.092232
61,0.999,0.73399,-0.737915
62,-0.113102,-0.999,-0.425968
63,0.616082,-0.328208,-0.999
0,-0.919808,-0.999,0.283942
1,0.999,0.668522,-0.320666
2,-0.999,0.504495,0.535633
3,-0.328019,0.999,0.418989
4,0.614715,-0.261623,-0.999
5,-0.999,0.416981,-0.759256
6,-0.62699,-0.161301,-0.999
7,-0.999,-0.672553,0.295659
8,-0.259452,0.999,0.722663
9,0.631741,0.999,0.171302
10,-0.496522,-0.471514,-0.999
11,0.21232,-0.999,-0.316719
12,-0.102081,-0.911588,0.999
13,0.618817,0.649542,-0.999
14,0.999,-0.861323,0.165645
15,-0.999,0.123435,-0.199742
16,-0.300434,-0.999,-0.278379
17,-0.839341,-0.999,-0.194033
18,0.0974454,0.999,-0.0678645
19,0.999,0.998147,-0.322895
20,0.184925,0.999,0.679543
21,0.999,-0.206795,0.274696
22,0.469386,0.999,0.659338
23,-0.999,0.879909,0.544961
24,0.664035,-0.999,0.501093
25,0.999,-0.106617,0.518266
26,0.108534,-0.999,-0.648431
27,-0.999,-0.184278,-0.962233
28,0.108841,0.330978,-0.999
29,-0.824897,0.0236724,-0.999
30,-0.999,0.68471,-0.960313
31,-0.999,0.682559,-0.978148
32,0.999,0.782808,0.201347
33,0.279422,0.901585,-0.999
34,-0.564945,-0.999,-0.656026
35,0.110136,-0.874102,-0.999
36,-0.999,0.0258958,-0.906067
37,-0.606354,-0.999,-0.458263
38,0.143299,0.0975109,0.999
39,0.261344,0.748619,-0.999
40,0.315771,0.999,-0.294778
41,-0.999,-0.489018,-0.893755
42,0.813251,-0.0372169,0.999
43,0.578188,0.999,0.450085
44,-0.709113,-0.0855884,-0.999
45,0.999,0.0994071,-0.267318
46,-0.440039,-0.741382,0.999
47,0.687933,-0.100356,0.999
48,-0.334666,-0.420354,0.999
49,-0.999,-0.816911,0.173604
50,-0.999,-0.848125,0.613863
51,-0.666993,0.999,0.772779
52,-0.401898,-0.999,0.769045
53,-0.228751,-0.999,-0.547141
54,0.854139,-0.523462,0.999
55,-0.774581,-0.999,0.602898
56,-0.999,0.868286,0.0758255
57,-0.187655,0.999,-0.104504
58,-0.255924,-0.999,0.502592
59,0.654856,0.21873,-0.999
60,-0.888987,0.999,0.235185
61,-0.84945,0.999,-0.809738
62,-0.301865,0.162296,-0.999
63,-0.999,0.476968,-0.573032
0,-0.999,-0.825174,0.31041
1,0.0316665,-0.119397,-0.999
2,-0.920065,0.702109,-0.999
3,0.544099,-0.999,-0.131607
4,-0.102899,-0.0299805,0.999
5,-0.18128,0.999,-0.101449
6,-0.700752,0.525232,0.999
7,-0.228153,-0.999,0.876978
8,0.195067,0.353049,0.999
9,0.999,0.166065,0.291873
10,-0.263325,-0.999,-0.787105
11,-0.999,-0.279017,0.0620797
12,-0.999,-0.569365,-0.22013
13,-0.999,-0.962534,0.536392
14,-0.999,-0.709638,0.987304
15,0.420914,0.913839,-0.999
16,0.999,-0.778543,-0.151896
